job,marital,education,default,housing,loan,deposit
student,single,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,yes,yes
management,married,tertiary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
self-employed,single,tertiary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
blue-collar,married,unknown,no,yes,no,yes
technician,single,secondary,no,yes,yes,yes
admin.,married,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,yes,yes
technician,divorced,tertiary,yes,no,no,yes
self-employed,single,tertiary,no,yes,no,yes
technician,divorced,secondary,no,yes,no,yes
technician,single,secondary,no,yes,yes,yes
management,divorced,tertiary,no,yes,yes,yes
entrepreneur,married,tertiary,no,yes,no,yes
blue-collar,single,secondary,no,yes,yes,yes
admin.,married,secondary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
management,married,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
management,married,secondary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
management,single,tertiary,no,yes,yes,yes
management,married,tertiary,no,yes,yes,yes
management,married,tertiary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
management,married,tertiary,no,yes,yes,yes
management,single,tertiary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
admin.,single,tertiary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
management,single,tertiary,no,yes,yes,yes
services,single,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,yes,yes
blue-collar,married,primary,no,yes,no,yes
services,married,primary,no,yes,yes,yes
technician,married,secondary,no,yes,no,yes
admin.,married,secondary,no,no,no,yes
blue-collar,married,unknown,no,yes,no,yes
technician,single,tertiary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
housemaid,married,tertiary,no,yes,no,yes
blue-collar,single,primary,no,yes,no,yes
unemployed,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,married,secondary,yes,yes,yes,yes
services,divorced,secondary,no,yes,yes,yes
technician,divorced,secondary,no,yes,no,yes
blue-collar,divorced,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
blue-collar,divorced,primary,no,yes,yes,yes
management,married,tertiary,no,yes,no,yes
management,married,tertiary,no,yes,yes,yes
technician,single,tertiary,no,yes,no,yes
technician,single,tertiary,no,yes,no,yes
blue-collar,divorced,primary,no,yes,yes,yes
admin.,divorced,tertiary,no,no,no,yes
retired,married,tertiary,no,yes,yes,yes
retired,married,primary,no,no,yes,yes
management,married,tertiary,no,yes,yes,yes
self-employed,single,tertiary,no,yes,no,yes
self-employed,married,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,yes,yes
management,divorced,tertiary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,no,no,yes
services,single,secondary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
student,single,primary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,divorced,secondary,no,yes,no,yes
entrepreneur,married,primary,no,yes,no,yes
admin.,divorced,secondary,no,yes,no,yes
housemaid,single,primary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,yes,yes
blue-collar,married,primary,no,yes,yes,yes
entrepreneur,married,secondary,no,yes,no,yes
services,divorced,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,yes,yes
admin.,single,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
blue-collar,divorced,primary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,yes,yes
services,single,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,married,primary,no,yes,yes,yes
blue-collar,married,secondary,no,yes,yes,yes
admin.,single,primary,no,yes,no,yes
admin.,single,tertiary,no,yes,no,yes
technician,married,secondary,no,yes,yes,yes
services,single,secondary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
self-employed,divorced,tertiary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,no,yes,yes
blue-collar,married,unknown,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
blue-collar,single,primary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
housemaid,single,primary,no,yes,no,yes
blue-collar,married,primary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
housemaid,single,primary,no,yes,no,yes
technician,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,divorced,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,yes,yes
management,married,tertiary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
blue-collar,single,primary,no,yes,no,yes
admin.,divorced,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
services,divorced,secondary,no,yes,yes,yes
blue-collar,single,primary,no,yes,no,yes
student,single,tertiary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
blue-collar,divorced,primary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
blue-collar,single,primary,no,yes,yes,yes
blue-collar,single,primary,no,yes,no,yes
technician,divorced,secondary,no,yes,yes,yes
management,single,tertiary,no,yes,no,yes
blue-collar,divorced,primary,no,yes,no,yes
services,divorced,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
technician,single,tertiary,no,yes,yes,yes
blue-collar,married,primary,no,yes,no,yes
admin.,divorced,secondary,no,yes,no,yes
blue-collar,single,primary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
admin.,divorced,secondary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
self-employed,single,tertiary,no,yes,no,yes
blue-collar,divorced,primary,no,no,no,yes
management,married,tertiary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
admin.,divorced,secondary,no,yes,yes,yes
management,married,tertiary,no,yes,no,yes
blue-collar,married,primary,no,yes,yes,yes
admin.,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
admin.,married,primary,no,yes,yes,yes
self-employed,divorced,tertiary,no,yes,no,yes
admin.,divorced,secondary,no,yes,no,yes
management,divorced,tertiary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,divorced,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
management,divorced,tertiary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,yes,yes
retired,divorced,secondary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
services,divorced,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
retired,married,tertiary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
services,married,secondary,no,yes,yes,yes
retired,divorced,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,yes,yes
admin.,single,secondary,no,yes,no,yes
admin.,divorced,secondary,no,no,no,yes
housemaid,married,tertiary,no,yes,no,yes
technician,married,tertiary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
management,single,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
technician,single,tertiary,no,yes,no,yes
blue-collar,married,primary,no,yes,yes,yes
blue-collar,married,secondary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
student,single,tertiary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
entrepreneur,married,secondary,no,yes,no,yes
unemployed,married,secondary,no,yes,no,yes
technician,single,secondary,no,yes,yes,yes
services,single,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
entrepreneur,married,tertiary,yes,yes,no,yes
retired,divorced,secondary,no,yes,no,yes
student,single,secondary,no,yes,no,yes
management,married,secondary,no,yes,yes,yes
admin.,single,secondary,no,no,no,yes
admin.,single,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
entrepreneur,single,secondary,no,yes,no,yes
admin.,divorced,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
admin.,divorced,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
self-employed,single,tertiary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
services,divorced,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,married,secondary,no,yes,yes,yes
technician,married,tertiary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,yes,yes
blue-collar,single,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,yes,yes
management,single,tertiary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,yes,yes
technician,single,tertiary,no,yes,no,yes
retired,divorced,tertiary,no,no,no,yes
blue-collar,single,secondary,no,yes,no,yes
housemaid,single,secondary,no,yes,no,yes
blue-collar,married,unknown,no,yes,no,yes
services,single,secondary,no,yes,no,yes
blue-collar,single,primary,no,yes,no,yes
admin.,single,tertiary,no,yes,no,yes
entrepreneur,married,tertiary,no,yes,no,yes
technician,divorced,secondary,no,yes,yes,yes
blue-collar,single,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,yes,yes
blue-collar,single,primary,no,yes,no,yes
blue-collar,single,primary,no,yes,yes,yes
blue-collar,married,secondary,no,yes,yes,yes
technician,single,tertiary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
self-employed,married,secondary,no,yes,yes,yes
technician,single,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,yes,yes
unemployed,single,tertiary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
admin.,divorced,secondary,no,yes,yes,yes
management,married,tertiary,no,no,no,yes
technician,single,tertiary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
services,married,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
technician,divorced,secondary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
services,married,secondary,no,no,no,yes
technician,married,secondary,no,no,no,yes
student,single,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
management,divorced,unknown,no,no,no,yes
student,single,tertiary,no,yes,no,yes
services,single,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
management,married,primary,no,yes,no,yes
blue-collar,married,unknown,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
retired,divorced,tertiary,no,no,yes,yes
technician,single,secondary,no,no,no,yes
blue-collar,single,tertiary,no,no,no,yes
student,single,unknown,no,no,no,yes
technician,single,tertiary,no,no,no,yes
technician,single,tertiary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
technician,married,secondary,no,no,no,yes
blue-collar,single,secondary,no,no,yes,yes
retired,divorced,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
admin.,single,secondary,no,yes,no,yes
services,married,secondary,no,yes,yes,yes
services,single,secondary,no,yes,no,yes
technician,divorced,secondary,no,no,no,yes
technician,married,tertiary,no,yes,yes,yes
technician,single,secondary,no,yes,no,yes
technician,single,secondary,no,no,no,yes
student,single,secondary,no,no,no,yes
technician,single,tertiary,no,yes,no,yes
technician,single,tertiary,no,yes,yes,yes
student,single,secondary,no,no,no,yes
technician,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
technician,single,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
retired,married,secondary,no,no,no,yes
management,divorced,tertiary,no,yes,no,yes
retired,married,tertiary,no,no,no,yes
student,single,tertiary,no,no,no,yes
student,single,secondary,no,no,no,yes
student,single,secondary,no,no,no,yes
student,single,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
admin.,married,tertiary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
self-employed,single,tertiary,no,no,no,yes
admin.,single,secondary,no,yes,no,yes
admin.,divorced,secondary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
admin.,married,secondary,no,yes,no,yes
admin.,single,secondary,no,no,no,yes
admin.,single,tertiary,no,yes,no,yes
admin.,single,secondary,no,no,no,yes
technician,married,secondary,no,no,no,yes
retired,divorced,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
admin.,single,tertiary,no,yes,no,yes
student,single,unknown,no,no,no,yes
management,married,tertiary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,married,tertiary,no,yes,yes,yes
unemployed,single,tertiary,no,no,no,yes
management,married,tertiary,no,yes,no,yes
technician,single,secondary,no,no,no,yes
housemaid,divorced,secondary,no,no,no,yes
blue-collar,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
admin.,married,tertiary,no,no,no,yes
management,single,secondary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
technician,single,secondary,no,no,no,yes
technician,married,secondary,no,no,no,yes
management,married,tertiary,no,no,yes,yes
technician,married,secondary,no,no,yes,yes
management,married,tertiary,no,no,no,yes
technician,married,secondary,no,no,no,yes
blue-collar,married,secondary,no,no,no,yes
services,divorced,secondary,no,no,no,yes
management,divorced,tertiary,no,no,no,yes
services,single,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
self-employed,single,tertiary,no,no,no,yes
unemployed,single,secondary,no,no,no,yes
student,single,unknown,no,no,no,yes
admin.,single,secondary,no,yes,yes,yes
management,single,tertiary,no,no,no,yes
blue-collar,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
admin.,single,tertiary,no,no,yes,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
unemployed,single,tertiary,no,no,no,yes
blue-collar,married,secondary,no,no,no,yes
technician,divorced,secondary,no,yes,no,yes
admin.,married,tertiary,no,no,no,yes
services,divorced,secondary,no,no,no,yes
technician,married,secondary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
services,married,secondary,no,yes,no,yes
technician,married,tertiary,no,yes,no,yes
technician,single,tertiary,no,no,no,yes
admin.,married,tertiary,no,no,no,yes
student,single,tertiary,no,no,no,yes
technician,single,secondary,no,no,no,yes
services,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,married,primary,no,no,no,yes
technician,single,tertiary,no,no,no,yes
entrepreneur,married,tertiary,no,no,no,yes
blue-collar,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
technician,married,tertiary,no,no,no,yes
technician,married,secondary,no,yes,no,yes
technician,married,secondary,no,no,no,yes
unemployed,married,secondary,no,no,no,yes
technician,married,secondary,no,no,no,yes
self-employed,married,secondary,no,no,no,yes
admin.,single,secondary,no,yes,yes,yes
entrepreneur,married,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
blue-collar,married,secondary,no,no,no,yes
management,divorced,tertiary,no,no,no,yes
blue-collar,married,primary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
technician,single,tertiary,no,no,no,yes
management,divorced,tertiary,no,no,no,yes
student,single,tertiary,no,no,no,yes
admin.,married,secondary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
management,divorced,tertiary,no,no,no,yes
technician,single,secondary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
admin.,divorced,secondary,no,no,no,yes
blue-collar,single,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
retired,married,secondary,no,no,no,yes
unemployed,married,tertiary,no,no,no,yes
blue-collar,single,secondary,no,no,no,yes
blue-collar,married,primary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
management,divorced,tertiary,no,yes,no,yes
management,divorced,tertiary,no,no,no,yes
services,married,secondary,no,yes,no,yes
management,married,tertiary,no,yes,yes,yes
admin.,single,secondary,no,no,no,yes
management,married,secondary,no,no,no,yes
services,single,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
student,single,secondary,no,no,no,yes
student,single,secondary,no,no,no,yes
admin.,single,tertiary,no,no,no,yes
services,married,secondary,no,yes,yes,yes
management,married,tertiary,no,no,no,yes
technician,single,tertiary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
management,married,tertiary,no,yes,no,yes
technician,single,secondary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
entrepreneur,divorced,secondary,no,yes,no,yes
blue-collar,married,secondary,no,no,yes,yes
unemployed,married,secondary,no,no,no,yes
services,single,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
student,single,secondary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
admin.,single,secondary,no,yes,no,yes
admin.,married,secondary,no,no,no,yes
management,single,secondary,no,no,no,yes
management,single,secondary,no,no,no,yes
admin.,divorced,secondary,no,no,no,yes
retired,married,primary,no,no,no,yes
technician,married,tertiary,no,no,no,yes
retired,married,secondary,no,no,no,yes
self-employed,single,tertiary,no,yes,no,yes
student,single,secondary,no,no,no,yes
technician,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
retired,married,primary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
blue-collar,married,secondary,no,no,no,yes
technician,single,tertiary,no,yes,no,yes
housemaid,single,primary,no,no,no,yes
management,single,tertiary,no,no,no,yes
unemployed,single,primary,no,no,no,yes
unemployed,single,tertiary,no,no,no,yes
self-employed,single,tertiary,no,no,no,yes
unemployed,single,secondary,no,yes,no,yes
management,divorced,tertiary,no,no,yes,yes
blue-collar,single,secondary,no,no,no,yes
services,married,primary,no,yes,no,yes
technician,single,secondary,no,no,no,yes
technician,single,tertiary,no,no,no,yes
admin.,married,tertiary,no,no,no,yes
self-employed,married,unknown,no,no,no,yes
technician,married,secondary,no,yes,no,yes
blue-collar,married,primary,no,no,no,yes
admin.,single,tertiary,no,no,no,yes
entrepreneur,divorced,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
technician,single,tertiary,no,no,no,yes
services,single,tertiary,no,no,no,yes
management,married,secondary,no,no,no,yes
self-employed,single,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
admin.,married,secondary,no,no,no,yes
services,married,secondary,no,no,no,yes
entrepreneur,married,secondary,no,no,no,yes
technician,married,secondary,no,no,no,yes
retired,married,secondary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
services,single,secondary,no,no,no,yes
student,single,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
admin.,single,tertiary,no,yes,no,yes
admin.,single,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
blue-collar,married,secondary,no,yes,yes,yes
technician,married,unknown,no,no,no,yes
services,married,secondary,no,yes,yes,yes
technician,single,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
retired,married,primary,no,no,no,yes
management,married,tertiary,no,yes,yes,yes
services,single,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
retired,married,primary,no,no,no,yes
management,married,tertiary,no,no,no,yes
retired,married,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,yes,yes
retired,married,secondary,no,no,no,yes
retired,married,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
student,single,unknown,no,no,no,yes
management,married,tertiary,no,no,no,yes
entrepreneur,married,tertiary,no,no,yes,yes
self-employed,married,tertiary,no,no,no,yes
retired,divorced,primary,no,no,no,yes
blue-collar,married,secondary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
services,single,secondary,no,no,no,yes
retired,married,secondary,no,no,no,yes
technician,married,secondary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
management,married,tertiary,no,yes,no,yes
entrepreneur,married,secondary,no,yes,no,yes
technician,single,secondary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
housemaid,divorced,secondary,no,no,no,yes
admin.,divorced,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,married,unknown,no,no,no,yes
blue-collar,married,primary,no,no,no,yes
management,divorced,tertiary,no,no,no,yes
retired,married,secondary,no,no,no,yes
services,single,secondary,no,no,no,yes
unemployed,married,tertiary,no,no,no,yes
self-employed,single,tertiary,no,no,no,yes
unemployed,single,primary,no,no,no,yes
blue-collar,married,primary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
entrepreneur,married,primary,no,no,no,yes
management,single,tertiary,no,no,no,yes
blue-collar,single,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
technician,married,secondary,no,no,no,yes
services,single,secondary,no,no,no,yes
retired,married,primary,no,no,no,yes
retired,married,secondary,no,no,no,yes
admin.,married,secondary,no,yes,yes,yes
management,married,tertiary,no,no,no,yes
services,married,secondary,no,no,no,yes
technician,single,tertiary,no,no,no,yes
retired,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
unemployed,married,primary,no,yes,no,yes
student,single,secondary,no,no,no,yes
retired,married,primary,no,no,no,yes
housemaid,married,primary,no,no,no,yes
management,single,secondary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
student,married,unknown,no,no,no,yes
retired,married,primary,no,no,no,yes
retired,married,tertiary,no,no,no,yes
technician,married,tertiary,no,no,no,yes
management,married,unknown,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
student,single,secondary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
student,single,unknown,no,no,no,yes
student,single,primary,no,no,no,yes
blue-collar,single,primary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
blue-collar,divorced,primary,no,no,no,yes
student,single,tertiary,no,no,no,yes
entrepreneur,single,unknown,no,no,no,yes
management,single,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
admin.,married,secondary,no,yes,yes,yes
management,married,tertiary,no,no,no,yes
management,divorced,tertiary,no,no,no,yes
technician,married,tertiary,no,no,no,yes
technician,married,secondary,no,yes,no,yes
retired,married,secondary,no,yes,no,yes
technician,single,tertiary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
technician,single,secondary,no,no,no,yes
management,divorced,tertiary,no,no,no,yes
self-employed,married,tertiary,no,no,no,yes
admin.,divorced,secondary,no,no,yes,yes
management,married,tertiary,no,no,no,yes
student,single,secondary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
management,single,tertiary,no,no,no,yes
student,married,unknown,no,no,no,yes
unemployed,single,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
services,single,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
admin.,divorced,secondary,no,yes,yes,yes
unknown,married,unknown,no,no,no,yes
retired,married,tertiary,no,no,no,yes
retired,married,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
retired,married,secondary,no,no,no,yes
admin.,married,tertiary,no,no,no,yes
management,divorced,tertiary,no,no,no,yes
management,married,tertiary,no,no,yes,yes
technician,married,secondary,no,no,no,yes
services,single,secondary,no,no,no,yes
retired,married,tertiary,no,no,no,yes
admin.,married,tertiary,no,no,no,yes
retired,married,primary,no,no,no,yes
unemployed,married,secondary,no,no,no,yes
admin.,married,secondary,no,no,no,yes
management,married,tertiary,no,yes,no,yes
admin.,single,secondary,no,no,no,yes
services,single,secondary,no,yes,no,yes
unemployed,married,secondary,no,yes,no,yes
technician,married,tertiary,no,no,no,yes
entrepreneur,divorced,secondary,no,yes,no,yes
retired,married,primary,no,no,no,yes
student,single,secondary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
student,single,unknown,no,no,no,yes
technician,married,secondary,no,no,no,yes
retired,divorced,tertiary,no,no,no,yes
self-employed,single,tertiary,no,no,no,yes
self-employed,divorced,tertiary,no,no,no,yes
management,married,tertiary,no,no,no,yes
blue-collar,married,primary,no,yes,no,yes
unemployed,married,unknown,no,no,no,yes
services,single,tertiary,no,yes,no,yes
housemaid,divorced,primary,no,no,no,yes
technician,married,secondary,no,yes,no,yes
retired,married,secondary,no,no,no,yes
blue-collar,divorced,primary,no,no,no,yes
unemployed,divorced,secondary,no,no,no,yes
management,single,tertiary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
technician,married,secondary,no,yes,no,yes
admin.,single,secondary,no,no,no,yes
management,married,tertiary,no,yes,yes,yes
admin.,single,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
self-employed,married,primary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
services,single,secondary,no,no,no,yes
student,single,secondary,no,no,no,yes
self-employed,single,tertiary,no,no,no,yes
technician,divorced,unknown,no,no,no,yes
management,single,tertiary,no,yes,no,yes
retired,married,primary,no,no,no,yes
student,single,primary,no,no,no,yes
admin.,single,secondary,no,no,no,yes
management,married,tertiary,no,no,no,yes
technician,married,secondary,no,no,no,yes
management,married,tertiary,no,yes,no,yes
student,single,primary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
management,married,primary,no,no,no,yes
